categoria,pergunta,resposta_oficial
Limites PIX,Quais são os limites de transação via PIX no período noturno?,"Por determinação de segurança e regra do Banco Central, as transferências via PIX realizadas no período noturno (entre 20h e 06h) possuem um limite transacional máximo de R$ 1.000,00 por conta. O cliente pode solicitar a alteração desse limite diretamente pelo aplicativo (Menu > Limites PIX), porém a efetivação está sujeita a uma análise de segurança de 24 horas úteis."
Limites TED,Como um cliente pessoa jurídica (PJ) pode solicitar aumento do limite de transferência TED?,O aumento de limite de TED para contas empresariais Neo Bank deve ser solicitado no menu 'Gestão de Limites PJ' no Internet Banking ou App. A aprovação dependerá do histórico de faturamento cruzado dos últimos 3 meses e da análise de crédito da empresa. Dúvidas não resolvidas em 48h devem ser direcionadas ao e-mail operacoes@neobank.com.br.
Saques,O que o atendimento deve orientar caso o cliente informe que não consegue realizar saque no Banco24Horas?,"O operador de atendimento deve verificar primeiramente se o cliente já atingiu a cota de 4 saques gratuitos no mês. Caso afirmativo, certificar-se de que há saldo suficiente (no mínimo R$ 6,50) para cobrir a tarifa excedente de saque. Se houver saldo e o erro persistir, escalonar para suporte.ti@neobank.com.br, informando o número do terminal do caixa eletrônico."
Cartões,O cliente perdeu o cartão de crédito físico. Como ele solicita a segunda via e qual o prazo de entrega?,"A solicitação de segunda via deve ser feita pelo app em 'Cartões > Bloquear e Solicitar Novo'. A taxa de emissão por perda ou roubo é de R$ 15,00. O prazo estimado de entrega é de 5 a 10 dias úteis para capitais e até 15 dias úteis para o interior. O código de rastreio ficará disponível no aplicativo em até 48h úteis."
Cartões,Como funciona o fechamento e vencimento da fatura do cartão de crédito?,O fechamento da fatura ocorre sempre 7 (sete) dias corridos antes da data de vencimento escolhida pelo cliente. Todas as compras realizadas no dia do fechamento ou após essa data entrarão automaticamente na fatura do mês seguinte.
Segurança,O que significa o bloqueio por Erro NB-SEC-09 e como eu ajudo o cliente?,"O Erro NB-SEC-09 é um bloqueio preventivo acionado pelo motor de IA devido a atividades anômalas (ex: PIX de alto valor na madrugada). Para desbloquear, o cliente deve entrar em contato com o atendimento, confirmar seus dados e enviar uma selfie segurando um documento oficial com foto. A análise de liberação leva até 2 horas úteis."
Rendimentos,Qual a rentabilidade do dinheiro deixado na conta corrente do Neo Bank?,"O saldo depositado na conta rende automaticamente 100% do CDI todos os dias úteis, desde que o valor permaneça na conta por um período superior a 30 dias (regra aplicável para isenção do IOF sobre rendimentos). O cliente pode acompanhar o rendimento bruto e líquido na aba 'Meus Rendimentos'."
Empréstimos,O cliente quer antecipar as parcelas de um empréstimo pessoal. Ele tem desconto?,"Sim. A antecipação de parcelas de empréstimo pessoal garante o abatimento proporcional dos juros. O cliente pode simular e efetivar a antecipação diretamente no aplicativo, acessando a área 'Empréstimos > Antecipar Parcelas'. O novo boleto ou débito em conta é gerado com os valores atualizados."
Boletos,Qual o prazo de compensação para um boleto de depósito pago em lotérica?,"Boletos de depósito gerados pelo Neo Bank e pagos em lotéricas, correspondentes bancários ou outros bancos têm um prazo de compensação de até 3 (três) dias úteis. Geralmente caem no dia útil seguinte, mas o atendente deve sempre informar o prazo oficial máximo de 3 dias úteis."
Cancelamento,O cliente quer encerrar a conta definitivamente. Qual o procedimento?,O encerramento de conta é 100% digital e feito no aplicativo em 'Configurações > Encerrar Minha Conta'. O cliente deve transferir todo o saldo disponível e garantir que não há faturas de cartão de crédito em aberto ou empréstimos ativos. O encerramento definitivo é processado em até 30 dias corridos e um comprovante é enviado por e-mail.
